epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2301769055366516,1.9241796318054198,33.06,86.84
1,2.0783827641391754,1.4681157913208007,51.31,94.02
2,1.9514821389722825,1.238955174446106,61.97,95.7
3,1.8466989523887634,1.0986298818588256,67.33,97.31
4,1.756721555109024,1.033712398815155,70.67,97.69
5,1.6904523936462403,1.0057356079101563,72.82,97.59
6,1.640520856423378,0.8839222292900085,75.99,98.15
7,1.6063260723638535,0.9001876527786254,77.55,98.33
8,1.5746436919498443,0.9150720795631408,78.78,98.18
9,1.5565092808437346,0.9989930913925171,77.42,96.96
10,1.5391352171230317,0.9899047473907471,80.38,98.24
11,1.520609085431099,0.9715082982063293,77.66,98.4
12,1.5048208435297012,0.963313746547699,80.35,98.36
13,1.4967824800634384,0.9279610978126526,80.43,98.42
14,1.4856919091510772,1.1231349181175232,73.28,96.8
15,1.475589522356987,1.0756543066978455,79.99,98.52
16,1.4762037129402161,0.9082510482788086,80.16,98.41
17,1.4712841835403443,1.0763282831192016,80.23,98.09
18,1.4590841977787017,1.056000008392334,80.06,97.43
19,1.4506808262872697,1.169954061126709,73.94,97.12
20,1.4482099651575089,1.0744715341567994,77.11,98.22
21,1.439732432165146,1.1797344120025635,76.18,96.72
22,1.4400063376569747,1.0357447892189027,78.82,98.1
23,1.424657253894806,1.0497081117630005,81.56,97.85
24,1.41426537047863,0.9773788744926453,81.22,98.23
25,1.411305442428589,1.1424560490608215,76.8,97.88
26,1.4059884957933426,0.9997687298774719,79.81,97.98
27,1.402722608332634,0.9415135944366455,81.57,98.42
28,1.3970927959585189,1.2329394981384276,73.34,96.14
29,1.3968186331605912,0.9115398147583008,83.25,98.28
30,1.3892449488449097,1.1379683959960938,82.56,98.12
31,1.3889274273490906,0.850308512020111,84.55,98.43
32,1.3853024193096162,0.9803059104919434,82.11,98.18
33,1.39164956428051,0.8379101031303405,84.35,98.34
34,1.3848679242801667,0.8236586338996887,84.83,98.51
35,1.3914153916931153,1.0054903102874755,83.96,98.78
36,1.37103814555645,0.9882016313552856,81.5,97.88
37,1.3799281602239608,0.9692594999313354,84.27,98.41
38,1.373052505669594,0.9447110614776612,84.84,98.6
39,1.3748001158094405,1.2559433221817016,77.09,97.28
40,1.3714828554582597,0.9652788941383362,82.73,98.13
41,1.3655180209732056,1.0082330715179444,83.87,97.71
42,1.3642076926612854,0.9559559143066406,82.93,98.62
43,1.3706343243455887,1.0490527459144592,80.41,97.89
44,1.3599404644203186,1.1211475766181946,76.93,97.66
45,1.3642424514961242,0.8385143058776855,84.16,98.45
46,1.356228393239975,0.9949600429534912,83.81,98.47
47,1.358082609539032,0.9124274933815002,83.85,98.06
48,1.3553666009902954,0.9037011307716369,84.56,98.45
49,1.349627506222725,0.8676966039657593,84.77,98.37
50,1.3535393559646607,0.9414874430656434,80.91,98.4
51,1.3453178340053558,0.974207986831665,83.95,98.22
52,1.3470832637453078,0.9901600525856018,85.16,98.35
53,1.341326797094345,0.7612960062026978,87.03,98.83
54,1.3466401854228973,0.8375312749862671,85.84,98.78
55,1.3476184752988816,0.9060788875579834,84.49,98.39
56,1.3402319713115691,1.0617882232666016,82.12,97.85
57,1.3397284759426118,1.198575092792511,71.56,96.81
58,1.3384874243545533,1.3103969095230104,77.23,96.65
59,1.3337054396533965,0.9949204950332642,83.52,98.29
60,1.3401619725561142,0.8250547477722168,87.82,99.11
61,1.334440729341507,0.9487543133735656,85.74,98.3
62,1.3300526941537858,1.0197515462875366,85.5,97.49
63,1.333773610806465,0.9200301456451416,84.43,98.49
64,1.3299726883411407,1.0945762590408326,82.66,97.21
65,1.3291320620679856,0.9034381454467774,85.41,98.01
66,1.3267789030885697,0.8805922136306763,84.66,98.17
67,1.3226304183340072,0.7776435355186463,87.25,98.68
68,1.3163941350507735,0.868612654876709,85.2,98.19
69,1.3196720858478546,1.020425957107544,82.99,98.42
70,1.319533684592247,0.7356910497665405,86.3,98.64
71,1.3170036002397538,0.9164024909973144,82.56,98.56
72,1.3223086496591567,0.7631477926254272,87.3,98.92
73,1.3159944654941558,0.9266356060028076,87.31,98.43
74,1.3115567034339906,0.7980939250946045,87.39,99.04
75,1.3181405906248094,0.8315436146736145,86.43,98.58
76,1.3124917125082016,0.8111885908126831,86.95,98.28
77,1.3086732378864288,0.7057167706489563,87.9,98.63
78,1.303821754593849,0.9244330959320068,81.45,97.7
79,1.2986183021354676,0.8970957406044007,84.34,98.39
80,1.29675664665699,0.8339678531646728,87.08,98.73
81,1.3008430078363418,0.7768362450599671,87.49,98.88
