epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2308569496250152,1.9228777528762817,33.14,87.07
1,2.0782218142700195,1.4629390684127808,51.82,93.94
2,1.9524348240995406,1.2519811162948609,61.48,95.74
3,1.8446099796485902,1.1181610761642455,66.79,97.27
4,1.7519090466356277,0.9932099569320678,71.88,97.85
5,1.6827126142549516,0.9835460844039917,72.99,97.86
6,1.6356240911006927,0.8778142345428467,76.25,98.06
7,1.6052707058382034,0.9013954544067383,76.56,98.0
8,1.5747692060041427,0.8929861449241638,78.73,97.85
9,1.5566393916893004,0.9726827728271484,76.71,97.57
10,1.5366679790449143,0.9801646628379822,79.64,97.85
11,1.5222046374797822,0.9816347509384156,78.41,98.46
12,1.507172660112381,0.9250971789360046,80.59,98.21
13,1.4977504410457612,0.8242653156280517,82.21,98.71
14,1.4908302475357056,1.0513646431922912,74.69,97.95
15,1.4803632102632522,1.0883599209785462,78.42,97.79
16,1.4823260378742218,0.9820730450630188,80.08,98.08
17,1.4767521198225022,1.0094099606513978,80.71,98.41
18,1.4625607682132722,1.106992813873291,79.9,98.39
19,1.455999679942131,1.1230289352416991,79.67,98.52
20,1.4518806953001022,1.0217483872413635,79.6,98.12
21,1.4414966983270645,1.2219837701797485,78.51,97.33
22,1.439912855014801,1.0539163282394408,77.87,98.48
23,1.4305005222320557,1.1710611002922058,76.58,98.2
24,1.4201942934083938,0.9710003252029419,82.78,98.87
25,1.4174596143627167,1.1431711853027344,79.59,98.56
26,1.409241249165535,1.0522923084259033,80.72,98.35
27,1.4079038115119935,1.1183464357376098,76.52,97.04
28,1.4030497619962692,1.2350459077835083,76.9,97.34
29,1.4009583425235748,0.9559910411834717,83.74,98.92
30,1.3965107112598418,1.1029000709533692,83.29,98.58
31,1.3966740049886703,1.0018305038452149,83.98,98.42
32,1.392496223168373,1.0157308891296386,83.85,98.3
33,1.3965753955745697,0.9879182642936707,83.76,98.74
34,1.3901835139894485,0.9236549357414245,83.58,98.81
35,1.3922617912578583,1.0528802982330323,83.01,98.58
36,1.3788305211544036,1.0298970446586608,83.48,98.59
37,1.3850010155200958,1.020939993095398,83.14,98.68
38,1.3793930732011794,1.0970961196899414,80.66,98.49
39,1.3811707459259033,1.1817265619277955,82.13,98.51
40,1.3778067230558395,1.0510439963340759,83.76,98.56
41,1.373161597495079,1.1847947996139527,78.57,97.8
42,1.3675163512945174,0.9731549243927002,80.32,98.03
43,1.377239179301262,1.1532759263038634,78.67,98.1
44,1.3676841872930527,1.1247287608146668,80.27,98.18
45,1.369740722374916,0.9173729476928711,85.95,98.66
46,1.3610526803588867,1.028926361465454,84.89,98.56
47,1.3653207236909866,1.006288941001892,81.5,98.57
48,1.3613444165086745,1.0073333718299866,84.25,98.1
49,1.3583323292016982,0.9356792419433594,84.3,98.86
