epoch,train_loss,lr
0,2.2305,1e-06
1,2.0776,1.595e-05
2,1.951,3.09e-05
3,1.8444,4.585e-05
4,1.7529,6.08e-05
5,1.6836,7.575e-05
6,1.6344,9.07e-05
7,1.6005,0.0001056
8,1.5733,0.0001206
9,1.5519,0.0001355
10,1.5345,0.0001505
11,1.5143,0.0001654
12,1.5037,0.0001804
13,1.4894,0.0001953
14,1.486,0.0002103
15,1.4734,0.0002252
16,1.4759,0.0002402
17,1.4736,0.0002551
18,1.4608,0.0002701
19,1.4544,0.000285
20,1.4524,0.0002929
21,1.4455,0.0002922
22,1.4431,0.0002914
23,1.4346,0.0002906
24,1.4218,0.0002898
25,1.416,0.000289
26,1.4109,0.0002881
27,1.4067,0.0002872
28,1.4056,0.0002862
29,1.4034,0.0002852
30,1.3959,0.0002842
31,1.3937,0.0002831
32,1.3914,0.0002821
33,1.3968,0.000281
34,1.3904,0.0002798
35,1.3972,0.0002786
36,1.3815,0.0002774
37,1.3868,0.0002762
38,1.3831,0.0002749
39,1.3833,0.0002736
40,1.3786,0.0002723
41,1.3731,0.000271
42,1.3708,0.0002696
43,1.3753,0.0002682
44,1.3671,0.0002667
45,1.369,0.0002653
46,1.3636,0.0002638
47,1.3634,0.0002622
48,1.3628,0.0002607
49,1.3603,0.0002591
50,1.3607,0.0002575
51,1.3523,0.0002559
52,1.3587,0.0002543
53,1.3524,0.0002526
54,1.3545,0.0002509
55,1.3553,0.0002492
56,1.352,0.0002474
57,1.3508,0.0002457
58,1.3496,0.0002439
59,1.3457,0.0002421
60,1.3478,0.0002402
61,1.3453,0.0002384
62,1.3364,0.0002365
63,1.3427,0.0002346
64,1.3377,0.0002327
65,1.3394,0.0002308
66,1.3337,0.0002288
67,1.3313,0.0002268
68,1.3251,0.0002249
69,1.3316,0.0002228
70,1.3282,0.0002208
71,1.3229,0.0002188
72,1.3297,0.0002167
73,1.325,0.0002147
74,1.3237,0.0002126
75,1.3235,0.0002105
76,1.3218,0.0002084
77,1.3184,0.0002063
78,1.3132,0.0002041
79,1.3067,0.000202
80,1.3057,0.0001998
81,1.3078,0.0001976
82,1.3099,0.0001955
83,1.3074,0.0001933
84,1.3084,0.0001911
85,1.301,0.0001888
86,1.2988,0.0001866
87,1.2957,0.0001844
88,1.2976,0.0001822
89,1.2939,0.0001799
90,1.2946,0.0001777
91,1.2861,0.0001754
92,1.2868,0.0001732
93,1.2839,0.0001709
94,1.2802,0.0001686
95,1.2765,0.0001664
96,1.2798,0.0001641
97,1.2738,0.0001618
98,1.2775,0.0001596
99,1.2736,0.0001573
100,1.2675,0.000155
101,1.2646,0.0001527
102,1.2711,0.0001504
103,1.2681,0.0001482
104,1.2591,0.0001459
105,1.2585,0.0001436
106,1.2528,0.0001414
107,1.251,0.0001391
108,1.2478,0.0001368
109,1.2475,0.0001346
110,1.2452,0.0001323
111,1.2442,0.0001301
112,1.2391,0.0001278
113,1.2358,0.0001256
114,1.2367,0.0001234
115,1.2268,0.0001212
116,1.2257,0.0001189
117,1.2261,0.0001167
118,1.2227,0.0001145
119,1.2188,0.0001124
120,1.2115,0.0001102
121,1.2149,0.000108
122,1.2095,0.0001059
123,1.2077,0.0001037
124,1.2095,0.0001016
125,1.2005,9.951e-05
126,1.2069,9.741e-05
127,1.2007,9.533e-05
128,1.192,9.326e-05
129,1.1933,9.121e-05
130,1.1954,8.917e-05
131,1.1795,8.715e-05
132,1.1777,8.515e-05
133,1.1806,8.316e-05
134,1.1729,8.119e-05
135,1.1684,7.924e-05
136,1.1742,7.731e-05
137,1.169,7.539e-05
138,1.1668,7.35e-05
139,1.1637,7.162e-05
140,1.157,6.977e-05
141,1.1553,6.794e-05
142,1.1568,6.613e-05
143,1.152,6.434e-05
144,1.1464,6.257e-05
145,1.1483,6.083e-05
146,1.1401,5.911e-05
147,1.1451,5.741e-05
148,1.1386,5.574e-05
149,1.1285,5.409e-05
150,1.1331,5.247e-05
151,1.1316,5.087e-05
152,1.1201,4.93e-05
153,1.1197,4.775e-05
154,1.1195,4.623e-05
155,1.114,4.474e-05
156,1.1073,4.328e-05
157,1.104,4.184e-05
158,1.1031,4.043e-05
159,1.1021,3.905e-05
160,1.095,3.769e-05
161,1.1057,3.637e-05
162,1.0926,3.507e-05
163,1.0908,3.381e-05
164,1.0856,3.257e-05
165,1.0763,3.137e-05
166,1.0853,3.019e-05
167,1.0793,2.905e-05
168,1.0743,2.794e-05
169,1.0724,2.685e-05
170,1.0734,2.58e-05
171,1.0727,2.479e-05
172,1.065,2.38e-05
173,1.0645,2.285e-05
174,1.0572,2.193e-05
175,1.0553,2.104e-05
176,1.0507,2.018e-05
177,1.0575,1.936e-05
178,1.0589,1.857e-05
179,1.0424,1.782e-05
180,1.0392,1.71e-05
181,1.0425,1.641e-05
182,1.0349,1.576e-05
183,1.0391,1.514e-05
184,1.0306,1.456e-05
185,1.0333,1.401e-05
186,1.031,1.349e-05
187,1.0292,1.301e-05
188,1.0374,1.257e-05
189,1.0234,1.216e-05
190,1.0245,1.179e-05
191,1.0214,1.145e-05
192,1.0167,1.114e-05
193,1.0191,1.088e-05
194,1.0228,1.064e-05
195,1.0178,1.045e-05
196,1.0221,1.029e-05
197,1.0178,1.016e-05
198,1.0184,1.007e-05
199,1.0148,1.002e-05
200,1.0103,1e-05
201,1.0129,1e-05
202,1.0146,1e-05
203,1.0155,1e-05
204,1.0136,1e-05
205,1.0189,1e-05
206,1.0156,1e-05
207,1.0105,1e-05
208,1.0097,1e-05
209,1.0102,1e-05
