epoch,train_loss,lr
0,2.2302,1e-06
1,2.0767,1.595e-05
2,1.9536,3.09e-05
3,1.8494,4.585e-05
4,1.757,6.08e-05
5,1.6884,7.575e-05
6,1.6396,9.07e-05
7,1.6054,0.0001056
8,1.5784,0.0001206
9,1.5526,0.0001355
10,1.5301,0.0001505
11,1.5204,0.0001654
12,1.5032,0.0001804
13,1.49,0.0001953
14,1.4882,0.0002103
15,1.4767,0.0002252
16,1.4798,0.0002402
17,1.4755,0.0002551
18,1.4663,0.0002701
19,1.4588,0.000285
20,1.4562,0.0002929
21,1.4481,0.0002922
22,1.4402,0.0002914
23,1.4284,0.0002906
24,1.4172,0.0002898
25,1.4146,0.000289
26,1.411,0.0002881
27,1.4109,0.0002872
28,1.4044,0.0002862
29,1.4006,0.0002852
30,1.3942,0.0002842
31,1.3901,0.0002831
32,1.389,0.0002821
33,1.3906,0.000281
34,1.3863,0.0002798
35,1.3914,0.0002786
36,1.3714,0.0002774
37,1.3803,0.0002762
38,1.3747,0.0002749
39,1.3748,0.0002736
40,1.37,0.0002723
41,1.3706,0.000271
42,1.3623,0.0002696
43,1.373,0.0002682
44,1.3602,0.0002667
45,1.3646,0.0002653
46,1.3571,0.0002638
47,1.3588,0.0002622
48,1.3551,0.0002607
49,1.352,0.0002591
50,1.3512,0.0002575
51,1.3442,0.0002559
52,1.3484,0.0002543
53,1.3443,0.0002526
54,1.345,0.0002509
55,1.3466,0.0002492
56,1.3409,0.0002474
57,1.3393,0.0002457
58,1.3389,0.0002439
59,1.3362,0.0002421
60,1.3415,0.0002402
61,1.3341,0.0002384
62,1.3296,0.0002365
63,1.3346,0.0002346
64,1.3321,0.0002327
65,1.3291,0.0002308
66,1.3244,0.0002288
67,1.3241,0.0002268
68,1.3165,0.0002249
69,1.3203,0.0002228
70,1.3167,0.0002208
71,1.3157,0.0002188
72,1.3187,0.0002167
73,1.3168,0.0002147
74,1.3111,0.0002126
75,1.3162,0.0002105
76,1.3133,0.0002084
77,1.3099,0.0002063
78,1.3017,0.0002041
79,1.2965,0.000202
80,1.296,0.0001998
81,1.3002,0.0001976
82,1.3039,0.0001955
83,1.2982,0.0001933
84,1.2967,0.0001911
85,1.2869,0.0001888
86,1.2888,0.0001866
87,1.2912,0.0001844
88,1.2901,0.0001822
89,1.284,0.0001799
90,1.2828,0.0001777
91,1.2772,0.0001754
92,1.2762,0.0001732
93,1.273,0.0001709
94,1.2714,0.0001686
95,1.2702,0.0001664
96,1.268,0.0001641
97,1.2633,0.0001618
98,1.2645,0.0001596
99,1.2634,0.0001573
100,1.258,0.000155
101,1.2574,0.0001527
102,1.2591,0.0001504
103,1.2573,0.0001482
104,1.2477,0.0001459
105,1.2502,0.0001436
106,1.2405,0.0001414
107,1.2432,0.0001391
108,1.2384,0.0001368
109,1.2367,0.0001346
110,1.2363,0.0001323
111,1.2328,0.0001301
112,1.2298,0.0001278
113,1.2264,0.0001256
114,1.2284,0.0001234
115,1.2162,0.0001212
116,1.2135,0.0001189
117,1.217,0.0001167
118,1.215,0.0001145
119,1.2094,0.0001124
120,1.2063,0.0001102
121,1.2072,0.000108
122,1.2025,0.0001059
123,1.2016,0.0001037
124,1.2018,0.0001016
125,1.1939,9.951e-05
126,1.1971,9.741e-05
127,1.1898,9.533e-05
128,1.1839,9.326e-05
129,1.1833,9.121e-05
130,1.1868,8.917e-05
131,1.1671,8.715e-05
132,1.1708,8.515e-05
133,1.1756,8.316e-05
134,1.1693,8.119e-05
135,1.1583,7.924e-05
136,1.1665,7.731e-05
137,1.1628,7.539e-05
138,1.1568,7.35e-05
139,1.1535,7.162e-05
140,1.1495,6.977e-05
141,1.1461,6.794e-05
142,1.1481,6.613e-05
143,1.1429,6.434e-05
144,1.1401,6.257e-05
145,1.1426,6.083e-05
146,1.1323,5.911e-05
147,1.137,5.741e-05
148,1.1308,5.574e-05
149,1.1221,5.409e-05
150,1.1257,5.247e-05
151,1.1256,5.087e-05
152,1.1153,4.93e-05
153,1.1145,4.775e-05
154,1.1104,4.623e-05
155,1.1056,4.474e-05
156,1.0993,4.328e-05
157,1.0988,4.184e-05
158,1.0975,4.043e-05
159,1.093,3.905e-05
160,1.0901,3.769e-05
161,1.0963,3.637e-05
162,1.0819,3.507e-05
163,1.0844,3.381e-05
164,1.0809,3.257e-05
165,1.0696,3.137e-05
166,1.074,3.019e-05
167,1.0718,2.905e-05
168,1.0674,2.794e-05
169,1.0636,2.685e-05
170,1.0651,2.58e-05
171,1.0627,2.479e-05
172,1.0563,2.38e-05
173,1.0588,2.285e-05
174,1.0513,2.193e-05
175,1.0476,2.104e-05
176,1.0436,2.018e-05
177,1.049,1.936e-05
178,1.0483,1.857e-05
179,1.035,1.782e-05
180,1.033,1.71e-05
181,1.0325,1.641e-05
182,1.0258,1.576e-05
183,1.0321,1.514e-05
184,1.0215,1.456e-05
185,1.0261,1.401e-05
186,1.0236,1.349e-05
187,1.0207,1.301e-05
188,1.031,1.257e-05
189,1.0191,1.216e-05
190,1.0137,1.179e-05
191,1.015,1.145e-05
192,1.0102,1.114e-05
193,1.0127,1.088e-05
194,1.013,1.064e-05
195,1.0087,1.045e-05
196,1.0107,1.029e-05
197,1.0125,1.016e-05
198,1.0123,1.007e-05
199,1.0072,1.002e-05
200,1.0013,1e-05
201,1.004,1e-05
202,1.0081,1e-05
203,1.0074,1e-05
204,1.0097,1e-05
205,1.01,1e-05
206,1.0083,1e-05
207,1.0,1e-05
208,1.0042,1e-05
209,1.0042,1e-05
