epoch,train_loss,lr
0,2.2547,1e-06
1,2.124,1.595e-05
2,2.0149,3.09e-05
3,1.9249,4.585e-05
4,1.8517,6.08e-05
5,1.7851,7.575e-05
6,1.729,9.07e-05
7,1.6838,0.0001056
8,1.6526,0.0001206
9,1.6246,0.0001355
10,1.6031,0.0001505
11,1.5755,0.0001654
12,1.5652,0.0001804
13,1.547,0.0001953
14,1.538,0.0002103
15,1.5266,0.0002252
16,1.5176,0.0002402
17,1.5147,0.0002551
18,1.5093,0.0002701
19,1.4978,0.000285
20,1.4949,0.0002929
21,1.4838,0.0002922
22,1.4817,0.0002914
23,1.475,0.0002906
24,1.4662,0.0002898
25,1.4577,0.000289
26,1.457,0.0002881
27,1.456,0.0002872
28,1.4444,0.0002862
29,1.4422,0.0002852
30,1.4432,0.0002842
31,1.4415,0.0002831
32,1.4375,0.0002821
33,1.442,0.000281
34,1.4301,0.0002798
35,1.4371,0.0002786
36,1.4329,0.0002774
37,1.4248,0.0002762
38,1.4266,0.0002749
39,1.4193,0.0002736
40,1.4198,0.0002723
41,1.424,0.000271
42,1.4226,0.0002696
43,1.4196,0.0002682
44,1.4053,0.0002667
45,1.4076,0.0002653
46,1.4114,0.0002638
47,1.4032,0.0002622
48,1.3983,0.0002607
49,1.415,0.0002591
50,1.4013,0.0002575
51,1.4044,0.0002559
52,1.3958,0.0002543
53,1.4043,0.0002526
54,1.397,0.0002509
55,1.393,0.0002492
56,1.3942,0.0002474
57,1.3958,0.0002457
58,1.3935,0.0002439
59,1.4006,0.0002421
60,1.3947,0.0002402
61,1.3853,0.0002384
62,1.3847,0.0002365
63,1.3813,0.0002346
64,1.3896,0.0002327
65,1.3817,0.0002308
66,1.3758,0.0002288
67,1.3815,0.0002268
68,1.379,0.0002249
69,1.3769,0.0002228
70,1.376,0.0002208
71,1.3716,0.0002188
72,1.375,0.0002167
73,1.3653,0.0002147
74,1.3708,0.0002126
75,1.3622,0.0002105
76,1.3657,0.0002084
77,1.3651,0.0002063
78,1.3592,0.0002041
79,1.3675,0.000202
80,1.3556,0.0001998
81,1.3547,0.0001976
82,1.3576,0.0001955
83,1.3538,0.0001933
84,1.3554,0.0001911
85,1.3477,0.0001888
86,1.3498,0.0001866
87,1.3451,0.0001844
88,1.3441,0.0001822
89,1.3458,0.0001799
90,1.3412,0.0001777
91,1.3475,0.0001754
92,1.3398,0.0001732
93,1.3418,0.0001709
94,1.3396,0.0001686
95,1.3331,0.0001664
96,1.3343,0.0001641
97,1.3283,0.0001618
98,1.3317,0.0001596
99,1.323,0.0001573
100,1.3272,0.000155
101,1.3204,0.0001527
102,1.3214,0.0001504
103,1.3212,0.0001482
104,1.3219,0.0001459
105,1.3153,0.0001436
106,1.3198,0.0001414
107,1.3164,0.0001391
108,1.3136,0.0001368
109,1.3094,0.0001346
110,1.3048,0.0001323
111,1.3028,0.0001301
112,1.3087,0.0001278
113,1.3069,0.0001256
114,1.3007,0.0001234
115,1.2968,0.0001212
116,1.2911,0.0001189
117,1.3015,0.0001167
118,1.2893,0.0001145
119,1.2884,0.0001124
120,1.2859,0.0001102
121,1.2814,0.000108
122,1.2812,0.0001059
123,1.2771,0.0001037
124,1.2822,0.0001016
125,1.2715,9.951e-05
126,1.2704,9.741e-05
127,1.2732,9.533e-05
128,1.2634,9.326e-05
129,1.2674,9.121e-05
130,1.2745,8.917e-05
131,1.2647,8.715e-05
132,1.2585,8.515e-05
133,1.2521,8.316e-05
134,1.2456,8.119e-05
135,1.2498,7.924e-05
136,1.252,7.731e-05
137,1.244,7.539e-05
138,1.2457,7.35e-05
139,1.2425,7.162e-05
140,1.2319,6.977e-05
141,1.2334,6.794e-05
142,1.239,6.613e-05
143,1.2258,6.434e-05
144,1.2229,6.257e-05
145,1.2243,6.083e-05
146,1.2136,5.911e-05
147,1.2145,5.741e-05
148,1.21,5.574e-05
149,1.2072,5.409e-05
150,1.2072,5.247e-05
151,1.2039,5.087e-05
152,1.2026,4.93e-05
153,1.2025,4.775e-05
154,1.1973,4.623e-05
155,1.1879,4.474e-05
156,1.187,4.328e-05
157,1.1878,4.184e-05
158,1.1905,4.043e-05
159,1.1804,3.905e-05
160,1.1776,3.769e-05
161,1.1746,3.637e-05
162,1.1733,3.507e-05
163,1.1705,3.381e-05
164,1.1653,3.257e-05
165,1.164,3.137e-05
166,1.1589,3.019e-05
167,1.1584,2.905e-05
168,1.1551,2.794e-05
169,1.1515,2.685e-05
170,1.1441,2.58e-05
171,1.1433,2.479e-05
172,1.1408,2.38e-05
173,1.1459,2.285e-05
174,1.14,2.193e-05
175,1.137,2.104e-05
176,1.1297,2.018e-05
177,1.1308,1.936e-05
178,1.1315,1.857e-05
179,1.1274,1.782e-05
180,1.1194,1.71e-05
181,1.1188,1.641e-05
182,1.119,1.576e-05
183,1.1166,1.514e-05
184,1.1214,1.456e-05
185,1.1116,1.401e-05
186,1.1094,1.349e-05
187,1.1052,1.301e-05
188,1.1052,1.257e-05
189,1.1052,1.216e-05
190,1.1071,1.179e-05
191,1.1084,1.145e-05
192,1.0972,1.114e-05
193,1.1027,1.088e-05
194,1.1034,1.064e-05
195,1.0959,1.045e-05
196,1.0865,1.029e-05
197,1.0969,1.016e-05
198,1.099,1.007e-05
199,1.0931,1.002e-05
200,1.095,1e-05
201,1.0901,1e-05
202,1.0871,1e-05
203,1.0856,1e-05
204,1.0909,1e-05
205,1.0953,1e-05
206,1.0858,1e-05
207,1.0894,1e-05
208,1.0895,1e-05
209,1.0872,1e-05
