epoch,train_loss,lr
0,2.2549,1e-06
1,2.1227,1.595e-05
2,2.0132,3.09e-05
3,1.9218,4.585e-05
4,1.8488,6.08e-05
5,1.7786,7.575e-05
6,1.7273,9.07e-05
7,1.6828,0.0001056
8,1.6533,0.0001206
9,1.6211,0.0001355
10,1.6043,0.0001505
11,1.575,0.0001654
12,1.5666,0.0001804
13,1.5501,0.0001953
14,1.5407,0.0002103
15,1.5275,0.0002252
16,1.5192,0.0002402
17,1.5145,0.0002551
18,1.5097,0.0002701
19,1.4992,0.000285
20,1.4958,0.0002929
21,1.4848,0.0002922
22,1.4865,0.0002914
23,1.4796,0.0002906
24,1.4708,0.0002898
25,1.4567,0.000289
26,1.4608,0.0002881
27,1.4555,0.0002872
28,1.4469,0.0002862
29,1.4462,0.0002852
30,1.4448,0.0002842
31,1.442,0.0002831
32,1.4416,0.0002821
33,1.4443,0.000281
34,1.4314,0.0002798
35,1.4374,0.0002786
36,1.4356,0.0002774
37,1.4281,0.0002762
38,1.4265,0.0002749
39,1.4202,0.0002736
40,1.4197,0.0002723
41,1.4232,0.000271
42,1.4216,0.0002696
43,1.4204,0.0002682
44,1.4085,0.0002667
45,1.409,0.0002653
46,1.4139,0.0002638
47,1.4041,0.0002622
48,1.4018,0.0002607
49,1.4144,0.0002591
50,1.4043,0.0002575
51,1.4047,0.0002559
52,1.3987,0.0002543
53,1.4056,0.0002526
54,1.3994,0.0002509
55,1.3956,0.0002492
56,1.3943,0.0002474
57,1.3958,0.0002457
58,1.3952,0.0002439
59,1.4032,0.0002421
60,1.3934,0.0002402
61,1.3839,0.0002384
62,1.3872,0.0002365
63,1.3815,0.0002346
64,1.386,0.0002327
65,1.3824,0.0002308
66,1.3801,0.0002288
67,1.3783,0.0002268
68,1.3796,0.0002249
69,1.3784,0.0002228
70,1.3764,0.0002208
71,1.3728,0.0002188
72,1.3723,0.0002167
73,1.3647,0.0002147
74,1.3721,0.0002126
75,1.3614,0.0002105
76,1.3677,0.0002084
77,1.3663,0.0002063
78,1.3614,0.0002041
79,1.3689,0.000202
80,1.3526,0.0001998
81,1.3572,0.0001976
82,1.3601,0.0001955
83,1.3554,0.0001933
84,1.3548,0.0001911
85,1.3487,0.0001888
86,1.3528,0.0001866
87,1.3468,0.0001844
88,1.347,0.0001822
89,1.3477,0.0001799
90,1.3419,0.0001777
91,1.3451,0.0001754
92,1.3427,0.0001732
93,1.3378,0.0001709
94,1.3423,0.0001686
95,1.3309,0.0001664
96,1.3383,0.0001641
97,1.3297,0.0001618
98,1.3354,0.0001596
99,1.3223,0.0001573
100,1.3284,0.000155
101,1.321,0.0001527
102,1.3204,0.0001504
103,1.3192,0.0001482
104,1.3229,0.0001459
105,1.3124,0.0001436
106,1.316,0.0001414
107,1.3142,0.0001391
108,1.3137,0.0001368
109,1.3117,0.0001346
110,1.3042,0.0001323
111,1.3055,0.0001301
112,1.3082,0.0001278
113,1.3063,0.0001256
114,1.2982,0.0001234
115,1.2957,0.0001212
116,1.291,0.0001189
117,1.2986,0.0001167
118,1.2893,0.0001145
119,1.2877,0.0001124
120,1.2833,0.0001102
121,1.2814,0.000108
122,1.2797,0.0001059
123,1.2752,0.0001037
124,1.2823,0.0001016
125,1.2706,9.951e-05
126,1.2671,9.741e-05
127,1.2694,9.533e-05
128,1.2596,9.326e-05
129,1.2665,9.121e-05
130,1.2725,8.917e-05
131,1.2604,8.715e-05
132,1.256,8.515e-05
133,1.251,8.316e-05
134,1.244,8.119e-05
135,1.2448,7.924e-05
136,1.2481,7.731e-05
137,1.2418,7.539e-05
138,1.2397,7.35e-05
139,1.242,7.162e-05
140,1.2254,6.977e-05
141,1.2268,6.794e-05
142,1.2331,6.613e-05
143,1.2246,6.434e-05
144,1.2186,6.257e-05
145,1.2193,6.083e-05
146,1.2098,5.911e-05
147,1.2092,5.741e-05
148,1.2047,5.574e-05
149,1.1992,5.409e-05
150,1.2034,5.247e-05
151,1.199,5.087e-05
152,1.1999,4.93e-05
153,1.1985,4.775e-05
154,1.188,4.623e-05
155,1.1859,4.474e-05
156,1.1822,4.328e-05
157,1.1837,4.184e-05
158,1.1849,4.043e-05
159,1.1765,3.905e-05
160,1.1721,3.769e-05
161,1.1678,3.637e-05
162,1.1709,3.507e-05
163,1.1633,3.381e-05
164,1.1637,3.257e-05
165,1.1578,3.137e-05
166,1.1555,3.019e-05
167,1.1558,2.905e-05
168,1.1547,2.794e-05
169,1.1465,2.685e-05
170,1.1412,2.58e-05
171,1.1405,2.479e-05
172,1.1355,2.38e-05
173,1.1409,2.285e-05
174,1.1359,2.193e-05
175,1.1305,2.104e-05
176,1.128,2.018e-05
177,1.1278,1.936e-05
178,1.1244,1.857e-05
179,1.124,1.782e-05
180,1.1143,1.71e-05
181,1.117,1.641e-05
182,1.1177,1.576e-05
183,1.1133,1.514e-05
184,1.1181,1.456e-05
185,1.1081,1.401e-05
186,1.1074,1.349e-05
187,1.101,1.301e-05
188,1.1005,1.257e-05
189,1.1013,1.216e-05
190,1.101,1.179e-05
191,1.1036,1.145e-05
192,1.0939,1.114e-05
193,1.1007,1.088e-05
194,1.1027,1.064e-05
195,1.0935,1.045e-05
196,1.0866,1.029e-05
197,1.0929,1.016e-05
198,1.0939,1.007e-05
199,1.0883,1.002e-05
200,1.0915,1e-05
201,1.0865,1e-05
202,1.0831,1e-05
203,1.0822,1e-05
204,1.0889,1e-05
205,1.0953,1e-05
206,1.0811,1e-05
207,1.0853,1e-05
208,1.0849,1e-05
209,1.0827,1e-05
