epoch,train_loss,lr
0,2.2547,1e-06
1,2.1239,1.595e-05
2,2.0142,3.09e-05
3,1.9245,4.585e-05
4,1.8482,6.08e-05
5,1.7805,7.575e-05
6,1.725,9.07e-05
7,1.6729,0.0001056
8,1.6443,0.0001206
9,1.6138,0.0001355
10,1.595,0.0001505
11,1.5655,0.0001654
12,1.5573,0.0001804
13,1.5396,0.0001953
14,1.5273,0.0002103
15,1.5185,0.0002252
16,1.5092,0.0002402
17,1.505,0.0002551
18,1.4954,0.0002701
19,1.4866,0.000285
20,1.4878,0.0002929
21,1.473,0.0002922
22,1.4742,0.0002914
23,1.4664,0.0002906
24,1.462,0.0002898
25,1.4493,0.000289
26,1.448,0.0002881
27,1.4455,0.0002872
28,1.4388,0.0002862
29,1.4355,0.0002852
30,1.4346,0.0002842
31,1.4326,0.0002831
32,1.4293,0.0002821
33,1.433,0.000281
34,1.4249,0.0002798
35,1.4298,0.0002786
36,1.4248,0.0002774
37,1.4208,0.0002762
38,1.4186,0.0002749
39,1.4124,0.0002736
40,1.4113,0.0002723
41,1.4151,0.000271
42,1.4154,0.0002696
43,1.414,0.0002682
44,1.3957,0.0002667
45,1.4046,0.0002653
46,1.4059,0.0002638
47,1.3967,0.0002622
48,1.392,0.0002607
49,1.4088,0.0002591
50,1.3973,0.0002575
51,1.3965,0.0002559
52,1.39,0.0002543
53,1.3977,0.0002526
54,1.3894,0.0002509
55,1.3887,0.0002492
56,1.3891,0.0002474
57,1.3874,0.0002457
58,1.3888,0.0002439
59,1.3937,0.0002421
60,1.3886,0.0002402
61,1.3779,0.0002384
62,1.3783,0.0002365
63,1.3769,0.0002346
64,1.3818,0.0002327
65,1.3749,0.0002308
66,1.3764,0.0002288
67,1.373,0.0002268
68,1.3742,0.0002249
69,1.374,0.0002228
70,1.3701,0.0002208
71,1.3662,0.0002188
72,1.3675,0.0002167
73,1.3597,0.0002147
74,1.3666,0.0002126
75,1.3565,0.0002105
76,1.3646,0.0002084
77,1.3591,0.0002063
78,1.3538,0.0002041
79,1.3599,0.000202
80,1.3464,0.0001998
81,1.3524,0.0001976
82,1.3538,0.0001955
83,1.3486,0.0001933
84,1.3491,0.0001911
85,1.3398,0.0001888
86,1.3469,0.0001866
87,1.3383,0.0001844
88,1.3387,0.0001822
89,1.3406,0.0001799
90,1.3367,0.0001777
91,1.3393,0.0001754
92,1.3347,0.0001732
93,1.3358,0.0001709
94,1.3346,0.0001686
95,1.3261,0.0001664
96,1.3297,0.0001641
97,1.3204,0.0001618
98,1.3269,0.0001596
99,1.3188,0.0001573
100,1.3239,0.000155
101,1.3158,0.0001527
102,1.3151,0.0001504
103,1.3132,0.0001482
104,1.3167,0.0001459
105,1.3073,0.0001436
106,1.3133,0.0001414
107,1.3085,0.0001391
108,1.3075,0.0001368
109,1.3068,0.0001346
110,1.3,0.0001323
111,1.2996,0.0001301
112,1.3031,0.0001278
113,1.3021,0.0001256
114,1.2961,0.0001234
115,1.2908,0.0001212
116,1.2851,0.0001189
117,1.2933,0.0001167
118,1.2875,0.0001145
119,1.284,0.0001124
120,1.28,0.0001102
121,1.2754,0.000108
122,1.2742,0.0001059
123,1.2708,0.0001037
124,1.2761,0.0001016
125,1.2667,9.951e-05
126,1.2609,9.741e-05
127,1.2665,9.533e-05
128,1.2596,9.326e-05
129,1.2625,9.121e-05
130,1.2678,8.917e-05
131,1.2588,8.715e-05
132,1.2536,8.515e-05
133,1.2469,8.316e-05
134,1.2425,8.119e-05
135,1.2442,7.924e-05
136,1.2471,7.731e-05
137,1.2413,7.539e-05
138,1.2398,7.35e-05
139,1.2377,7.162e-05
140,1.2269,6.977e-05
141,1.2259,6.794e-05
142,1.2332,6.613e-05
143,1.2221,6.434e-05
144,1.2198,6.257e-05
145,1.2208,6.083e-05
146,1.2091,5.911e-05
147,1.2096,5.741e-05
148,1.2079,5.574e-05
149,1.2033,5.409e-05
150,1.2041,5.247e-05
151,1.2037,5.087e-05
152,1.2025,4.93e-05
153,1.1996,4.775e-05
154,1.1953,4.623e-05
155,1.1876,4.474e-05
156,1.1839,4.328e-05
157,1.1838,4.184e-05
158,1.1874,4.043e-05
159,1.179,3.905e-05
160,1.1752,3.769e-05
161,1.1722,3.637e-05
162,1.1694,3.507e-05
163,1.1669,3.381e-05
164,1.1663,3.257e-05
165,1.1616,3.137e-05
166,1.1574,3.019e-05
167,1.1603,2.905e-05
168,1.1567,2.794e-05
169,1.151,2.685e-05
170,1.1448,2.58e-05
171,1.1417,2.479e-05
172,1.1401,2.38e-05
173,1.1449,2.285e-05
174,1.1401,2.193e-05
175,1.132,2.104e-05
176,1.133,2.018e-05
177,1.1289,1.936e-05
178,1.1296,1.857e-05
179,1.1259,1.782e-05
180,1.1195,1.71e-05
181,1.119,1.641e-05
182,1.1202,1.576e-05
183,1.1159,1.514e-05
184,1.1209,1.456e-05
185,1.1088,1.401e-05
186,1.1095,1.349e-05
187,1.1042,1.301e-05
188,1.1047,1.257e-05
189,1.106,1.216e-05
190,1.1056,1.179e-05
191,1.106,1.145e-05
192,1.0962,1.114e-05
193,1.1032,1.088e-05
194,1.103,1.064e-05
195,1.0957,1.045e-05
196,1.0853,1.029e-05
197,1.0954,1.016e-05
198,1.0966,1.007e-05
199,1.0921,1.002e-05
200,1.0965,1e-05
201,1.0905,1e-05
202,1.0871,1e-05
203,1.0853,1e-05
204,1.0905,1e-05
205,1.0967,1e-05
206,1.0858,1e-05
207,1.09,1e-05
208,1.0875,1e-05
209,1.0872,1e-05
