epoch,epoch_seconds
0,304.0
1,303.0
2,303.0
3,298.0
4,295.0
5,296.0
6,296.0
7,296.0
8,295.0
9,295.0
10,295.0
11,295.0
12,295.0
13,295.0
14,296.0
15,297.0
16,297.0
17,296.0
18,296.0
19,295.0
20,296.0
21,295.0
22,295.0
23,296.0
24,297.0
25,296.0
26,299.0
27,296.0
28,298.0
29,296.0
30,297.0
31,296.0
32,296.0
33,296.0
34,295.0
35,297.0
36,297.0
37,297.0
38,297.0
39,297.0
40,295.0
41,296.0
42,297.0
43,296.0
44,296.0
45,296.0
46,295.0
47,297.0
48,295.0
49,295.0
50,298.0
51,295.0
52,296.0
53,296.0
54,294.0
55,295.0
56,296.0
57,296.0
58,297.0
59,295.0
60,296.0
61,296.0
62,296.0
63,296.0
64,296.0
65,295.0
66,294.0
67,296.0
68,295.0
69,296.0
70,295.0
71,296.0
72,295.0
73,298.0
74,296.0
75,297.0
76,296.0
77,296.0
78,296.0
79,297.0
80,295.0
81,296.0
82,296.0
83,296.0
84,295.0
85,298.0
86,296.0
87,295.0
88,295.0
89,296.0
90,294.0
91,296.0
92,296.0
93,297.0
94,296.0
95,295.0
96,297.0
97,297.0
98,296.0
99,295.0
100,297.0
101,295.0
102,295.0
103,296.0
104,297.0
105,294.0
106,297.0
107,295.0
108,297.0
109,295.0
110,296.0
111,297.0
112,295.0
113,295.0
114,296.0
115,295.0
116,298.0
117,294.0
118,296.0
119,296.0
120,296.0
121,297.0
122,295.0
123,295.0
124,295.0
125,296.0
126,295.0
127,297.0
128,295.0
129,296.0
130,294.0
131,296.0
132,296.0
133,296.0
134,295.0
135,295.0
136,296.0
137,297.0
138,296.0
139,295.0
140,296.0
141,296.0
142,295.0
143,296.0
144,296.0
145,296.0
146,295.0
147,295.0
148,297.0
149,297.0
150,295.0
151,296.0
152,296.0
153,296.0
154,295.0
155,295.0
156,296.0
157,297.0
158,296.0
159,296.0
160,295.0
161,296.0
162,296.0
163,295.0
164,296.0
165,296.0
166,296.0
167,296.0
168,297.0
169,294.0
170,296.0
171,295.0
172,297.0
173,296.0
174,297.0
175,297.0
176,295.0
177,296.0
178,296.0
179,295.0
180,296.0
181,296.0
182,295.0
183,296.0
184,296.0
185,295.0
186,297.0
187,295.0
188,294.0
189,298.0
190,296.0
191,296.0
192,295.0
193,296.0
194,296.0
195,296.0
196,295.0
197,295.0
198,296.0
199,295.0
200,296.0
201,297.0
202,297.0
203,296.0
204,296.0
205,295.0
206,296.0
207,294.0
208,295.0
209,295.0
