epoch,train_loss,lr
0,2.2303,1e-06
1,2.078,1.595e-05
2,1.9541,3.09e-05
3,1.8501,4.585e-05
4,1.7594,6.08e-05
5,1.6903,7.575e-05
6,1.6368,9.07e-05
7,1.6046,0.0001056
8,1.5761,0.0001206
9,1.5538,0.0001355
10,1.5278,0.0001505
11,1.5131,0.0001654
12,1.4967,0.0001804
13,1.4891,0.0001953
14,1.4837,0.0002103
15,1.4772,0.0002252
16,1.47,0.0002402
17,1.4675,0.0002551
18,1.4556,0.0002701
19,1.4483,0.000285
20,1.4492,0.0002929
21,1.4424,0.0002922
22,1.439,0.0002914
23,1.4253,0.0002906
24,1.4196,0.0002898
25,1.4172,0.000289
26,1.4089,0.0002881
27,1.409,0.0002872
28,1.4058,0.0002862
29,1.4065,0.0002852
30,1.3984,0.0002842
31,1.3972,0.0002831
32,1.394,0.0002821
33,1.3966,0.000281
34,1.3907,0.0002798
35,1.3934,0.0002786
36,1.3774,0.0002774
37,1.3856,0.0002762
38,1.38,0.0002749
39,1.3854,0.0002736
40,1.3804,0.0002723
41,1.3754,0.000271
42,1.3712,0.0002696
43,1.3784,0.0002682
44,1.3666,0.0002667
45,1.3708,0.0002653
46,1.364,0.0002638
47,1.3651,0.0002622
48,1.3644,0.0002607
49,1.3595,0.0002591
50,1.3607,0.0002575
51,1.3547,0.0002559
52,1.3572,0.0002543
53,1.351,0.0002526
54,1.3538,0.0002509
55,1.3542,0.0002492
56,1.3495,0.0002474
57,1.3471,0.0002457
58,1.3508,0.0002439
59,1.3404,0.0002421
60,1.3519,0.0002402
61,1.3434,0.0002384
62,1.338,0.0002365
63,1.3434,0.0002346
64,1.3368,0.0002327
65,1.3359,0.0002308
66,1.3336,0.0002288
67,1.3321,0.0002268
68,1.3268,0.0002249
69,1.3302,0.0002228
70,1.329,0.0002208
71,1.3228,0.0002188
72,1.3285,0.0002167
73,1.3265,0.0002147
74,1.3224,0.0002126
75,1.3258,0.0002105
76,1.3234,0.0002084
77,1.3188,0.0002063
78,1.3132,0.0002041
79,1.3079,0.000202
80,1.305,0.0001998
81,1.3071,0.0001976
82,1.3138,0.0001955
83,1.3077,0.0001933
84,1.3057,0.0001911
85,1.2999,0.0001888
86,1.2991,0.0001866
87,1.2983,0.0001844
88,1.2972,0.0001822
89,1.2948,0.0001799
90,1.2947,0.0001777
91,1.2871,0.0001754
92,1.2879,0.0001732
93,1.284,0.0001709
94,1.2821,0.0001686
95,1.2812,0.0001664
96,1.2792,0.0001641
97,1.2761,0.0001618
98,1.2808,0.0001596
99,1.2771,0.0001573
100,1.2668,0.000155
101,1.2629,0.0001527
102,1.2738,0.0001504
103,1.2681,0.0001482
104,1.2618,0.0001459
105,1.2595,0.0001436
106,1.2515,0.0001414
107,1.2548,0.0001391
108,1.2483,0.0001368
109,1.2477,0.0001346
110,1.2432,0.0001323
111,1.2421,0.0001301
112,1.2374,0.0001278
113,1.2358,0.0001256
114,1.2398,0.0001234
115,1.2249,0.0001212
116,1.2271,0.0001189
117,1.2284,0.0001167
118,1.224,0.0001145
119,1.223,0.0001124
120,1.2144,0.0001102
121,1.2191,0.000108
122,1.2118,0.0001059
123,1.2089,0.0001037
124,1.2103,0.0001016
125,1.2036,9.951e-05
126,1.2095,9.741e-05
127,1.204,9.533e-05
128,1.1952,9.326e-05
129,1.1946,9.121e-05
130,1.1951,8.917e-05
131,1.1788,8.715e-05
132,1.1803,8.515e-05
133,1.1829,8.316e-05
134,1.1754,8.119e-05
135,1.1695,7.924e-05
136,1.1748,7.731e-05
137,1.1705,7.539e-05
138,1.1682,7.35e-05
139,1.1617,7.162e-05
140,1.1552,6.977e-05
141,1.1559,6.794e-05
142,1.1554,6.613e-05
143,1.1539,6.434e-05
144,1.1476,6.257e-05
145,1.1483,6.083e-05
146,1.1428,5.911e-05
147,1.1442,5.741e-05
148,1.1407,5.574e-05
149,1.1329,5.409e-05
150,1.1343,5.247e-05
151,1.1334,5.087e-05
152,1.1213,4.93e-05
153,1.1212,4.775e-05
154,1.1189,4.623e-05
155,1.1144,4.474e-05
156,1.1057,4.328e-05
157,1.1056,4.184e-05
158,1.1068,4.043e-05
159,1.1031,3.905e-05
160,1.0958,3.769e-05
161,1.1055,3.637e-05
162,1.0924,3.507e-05
163,1.0918,3.381e-05
164,1.0862,3.257e-05
165,1.0776,3.137e-05
166,1.0844,3.019e-05
167,1.0812,2.905e-05
168,1.0759,2.794e-05
169,1.0739,2.685e-05
170,1.0746,2.58e-05
171,1.0727,2.479e-05
172,1.0658,2.38e-05
173,1.0656,2.285e-05
174,1.0584,2.193e-05
175,1.0561,2.104e-05
176,1.0514,2.018e-05
177,1.0582,1.936e-05
178,1.0579,1.857e-05
179,1.0462,1.782e-05
180,1.0414,1.71e-05
181,1.0433,1.641e-05
182,1.037,1.576e-05
183,1.0397,1.514e-05
184,1.0293,1.456e-05
185,1.0394,1.401e-05
186,1.0327,1.349e-05
187,1.0297,1.301e-05
188,1.039,1.257e-05
189,1.0252,1.216e-05
190,1.0246,1.179e-05
191,1.0249,1.145e-05
192,1.0172,1.114e-05
193,1.0222,1.088e-05
194,1.023,1.064e-05
195,1.0172,1.045e-05
196,1.0218,1.029e-05
197,1.021,1.016e-05
198,1.0198,1.007e-05
199,1.0174,1.002e-05
200,1.0118,1e-05
201,1.0125,1e-05
202,1.0174,1e-05
203,1.0165,1e-05
204,1.0164,1e-05
205,1.0175,1e-05
206,1.0152,1e-05
207,1.0123,1e-05
208,1.013,1e-05
209,1.0125,1e-05
